"FREQ","Vout"
1000,-3.41097e-006
1023.292992,-3.57025e-006
1047.128548,-3.73704e-006
1071.519305,-3.91168e-006
1096.478196,-4.09456e-006
1122.018454,-4.28606e-006
1148.153621,-4.48658e-006
1174.897555,-4.69655e-006
1202.264435,-4.91642e-006
1230.268771,-5.14665e-006
1258.925412,-5.38773e-006
1288.249552,-5.64017e-006
1318.256739,-5.90451e-006
1348.962883,-6.18131e-006
1380.384265,-6.47115e-006
1412.537545,-6.77465e-006
1445.439771,-7.09246e-006
1479.108388,-7.42524e-006
1513.561248,-7.77371e-006
1548.816619,-8.1386e-006
1584.893192,-8.52069e-006
1621.810097,-8.92078e-006
1659.586907,-9.33973e-006
1698.243652,-9.77842e-006
1737.800829,-1.02378e-005
1778.27941,-1.07188e-005
1819.700859,-1.12225e-005
1862.087137,-1.17499e-005
1905.460718,-1.23022e-005
1949.8446,-1.28805e-005
1995.262315,-1.34861e-005
2041.737945,-1.41202e-005
2089.296131,-1.47842e-005
2137.96209,-1.54795e-005
2187.761624,-1.62075e-005
2238.721139,-1.69699e-005
2290.867653,-1.77682e-005
2344.228815,-1.86041e-005
2398.832919,-1.94794e-005
2454.708916,-2.03959e-005
2511.886432,-2.13557e-005
2570.395783,-2.23607e-005
2630.267992,-2.3413e-005
2691.534804,-2.4515e-005
2754.228703,-2.56688e-005
2818.382931,-2.68771e-005
2884.031503,-2.81423e-005
2951.209227,-2.94671e-005
3019.95172,-3.08544e-005
3090.295433,-3.2307e-005
3162.27766,-3.38281e-005
3235.936569,-3.54209e-005
3311.311215,-3.70888e-005
3388.441561,-3.88353e-005
3467.368505,-4.0664e-005
3548.133892,-4.2579e-005
3630.780548,-4.45842e-005
3715.352291,-4.66839e-005
3801.893963,-4.88825e-005
3890.45145,-5.11848e-005
3981.071706,-5.35956e-005
4073.802778,-5.612e-005
4168.693835,-5.87633e-005
4265.795188,-6.15313e-005
4365.158322,-6.44297e-005
4466.835922,-6.74646e-005
4570.881896,-7.06427e-005
4677.351413,-7.39704e-005
4786.300923,-7.74551e-005
4897.788194,-8.11039e-005
5011.872336,-8.49247e-005
5128.61384,-8.89255e-005
5248.074602,-9.3115e-005
5370.317964,-9.75018e-005
5495.408739,-0.000102095
5623.413252,-0.000106905
5754.399373,-0.000111942
5888.436554,-0.000117216
6025.595861,-0.000122739
6165.950019,-0.000128522
6309.573445,-0.000134577
6456.54229,-0.000140918
6606.93448,-0.000147558
6760.829754,-0.000154511
6918.309709,-0.000161791
7079.457844,-0.000169414
7244.359601,-0.000177397
7413.102413,-0.000185756
7585.77575,-0.000194508
7762.471166,-0.000203674
7943.282347,-0.000213271
8128.305162,-0.00022332
8317.637711,-0.000233843
8511.380382,-0.000244862
8709.6359,-0.0002564
8912.509381,-0.000268482
9120.108394,-0.000281133
9332.543008,-0.000294381
9549.92586,-0.000308253
9772.37221,-0.000322778
10000,-0.000337988
10232.92992,-0.000353915
10471.28548,-0.000370592
10715.19305,-0.000388056
10964.78196,-0.000406342
11220.18454,-0.00042549
11481.53621,-0.00044554
11748.97555,-0.000466535
12022.64435,-0.000488519
12302.68771,-0.00051154
12589.25412,-0.000535645
12882.49552,-0.000560886
13182.56739,-0.000587316
13489.62883,-0.000614992
13803.84265,-0.000643972
14125.37545,-0.000674318
14454.39771,-0.000706093
14791.08388,-0.000739366
15135.61248,-0.000774207
15488.16619,-0.000810689
15848.93192,-0.000848891
16218.10097,-0.000888892
16595.86907,-0.000930778
16982.43652,-0.000974638
17378.00829,-0.00102056
17782.7941,-0.00106866
18197.00859,-0.00111901
18620.87137,-0.00117174
19054.60718,-0.00122695
19498.446,-0.00128477
19952.62315,-0.00134531
20417.37945,-0.0014087
20892.96131,-0.00147507
21379.6209,-0.00154458
21877.61624,-0.00161736
22387.21139,-0.00169356
22908.67653,-0.00177336
23442.28815,-0.00185692
23988.32919,-0.00194441
24547.08916,-0.00203603
25118.86432,-0.00213195
25703.95783,-0.0022324
26302.67992,-0.00233758
26915.34804,-0.00244772
27542.28703,-0.00256304
28183.82931,-0.00268379
28840.31503,-0.00281023
29512.09227,-0.00294263
30199.5172,-0.00308126
30902.95433,-0.00322642
31622.7766,-0.00337842
32359.36569,-0.00353757
33113.11215,-0.00370422
33884.41561,-0.00387871
34673.68505,-0.00406143
35481.33892,-0.00425274
36307.80548,-0.00445306
37153.52291,-0.00466281
38018.93963,-0.00488244
38904.5145,-0.00511241
39810.71706,-0.0053532
40738.02778,-0.00560532
41686.93835,-0.00586931
42657.95188,-0.00614573
43651.58322,-0.00643515
44668.35922,-0.00673819
45708.81896,-0.00705549
46773.51413,-0.00738772
47863.00923,-0.00773559
48977.88194,-0.00809981
50118.72336,-0.00848117
51286.1384,-0.00888046
52480.74602,-0.00929854
53703.17964,-0.00973627
54954.08739,-0.0101946
56234.13252,-0.0106745
57543.99373,-0.0111769
58884.36554,-0.0117029
60255.95861,-0.0122537
61659.50019,-0.0128303
63095.73445,-0.0134341
64565.4229,-0.0140662
66069.3448,-0.014728
67608.29754,-0.0154208
69183.09709,-0.0161462
70794.57844,-0.0169057
72443.59601,-0.0177008
74131.02413,-0.0185333
75857.7575,-0.0194048
77624.71166,-0.0203171
79432.82347,-0.0212723
81283.05162,-0.0222723
83176.37711,-0.0233191
85113.80382,-0.024415
87096.359,-0.0255623
89125.09381,-0.0267633
91201.08394,-0.0280206
93325.43008,-0.0293367
95499.2586,-0.0307144
