"FREQ","Vout"
223872.1139,-11.5588
229086.7653,-11.3731
234422.8815,-11.188
239883.2919,-11.0035
245470.8916,-10.8198
251188.6432,-10.6367
257039.5783,-10.4543
263026.7992,-10.2727
269153.4804,-10.0919
275422.8703,-9.91188
281838.2931,-9.73272
288403.1503,-9.55443
295120.9227,-9.37705
301995.172,-9.20061
309029.5433,-9.02514
316227.766,-8.85069
323593.6569,-8.67727
331131.1215,-8.50494
338844.1561,-8.33372
346736.8505,-8.16366
354813.3892,-7.99479
363078.0548,-7.82714
371535.2291,-7.66077
380189.3963,-7.4957
389045.145,-7.33198
398107.1706,-7.16965
407380.2778,-7.00875
416869.3835,-6.84932
426579.5188,-6.69139
436515.8322,-6.53502
446683.5922,-6.38024
457088.1896,-6.22709
467735.1413,-6.07561
478630.0923,-5.92584
489778.8194,-5.77783
501187.2336,-5.6316
512861.384,-5.48721
524807.4602,-5.34468
537031.7964,-5.20406
549540.8739,-5.06538
562341.3252,-4.92867
575439.9373,-4.79398
588843.6554,-4.66132
602559.5861,-4.53074
616595.0019,-4.40225
630957.3445,-4.2759
645654.229,-4.1517
660693.448,-4.02969
676082.9754,-3.90987
691830.9709,-3.79227
707945.7844,-3.67692
724435.9601,-3.56382
741310.2413,-3.45299
758577.575,-3.34444
776247.1166,-3.23818
794328.2347,-3.13422
812830.5162,-3.03256
831763.7711,-2.9332
851138.0382,-2.83614
870963.59,-2.74138
891250.9381,-2.64891
912010.8394,-2.55873
933254.3008,-2.47082
954992.586,-2.38518
977237.221,-2.30178
1000000,-2.22061
