"FREQ","Vout"
1000,-51.3874
1023.292992,-51.1874
1047.128548,-50.9874
1071.519305,-50.7874
1096.478196,-50.5875
1122.018454,-50.3875
1148.153621,-50.1875
1174.897555,-49.9875
1202.264435,-49.7875
1230.268771,-49.5875
1258.925412,-49.3875
1288.249552,-49.1875
1318.256739,-48.9875
1348.962883,-48.7876
1380.384265,-48.5876
1412.537545,-48.3876
1445.439771,-48.1876
1479.108388,-47.9876
1513.561248,-47.7876
1548.816619,-47.5877
1584.893192,-47.3877
1621.810097,-47.1877
1659.586907,-46.9877
1698.243652,-46.7877
1737.800829,-46.5878
1778.27941,-46.3878
1819.700859,-46.1878
1862.087137,-45.9878
1905.460718,-45.7879
1949.8446,-45.5879
1995.262315,-45.3879
2041.737945,-45.188
2089.296131,-44.988
2137.96209,-44.788
2187.761624,-44.5881
2238.721139,-44.3881
2290.867653,-44.1881
2344.228815,-43.9882
2398.832919,-43.7882
2454.708916,-43.5883
2511.886432,-43.3883
2570.395783,-43.1884
2630.267992,-42.9884
2691.534804,-42.7885
2754.228703,-42.5885
2818.382931,-42.3886
2884.031503,-42.1887
2951.209227,-41.9887
3019.95172,-41.7888
3090.295433,-41.5889
3162.27766,-41.3889
3235.936569,-41.189
3311.311215,-40.9891
3388.441561,-40.7892
3467.368505,-40.5893
3548.133892,-40.3894
3630.780548,-40.1895
3715.352291,-39.9896
3801.893963,-39.7897
3890.45145,-39.5898
3981.071706,-39.3899
4073.802778,-39.19
4168.693835,-38.9902
4265.795188,-38.7903
4365.158322,-38.5905
4466.835922,-38.3906
4570.881896,-38.1908
4677.351413,-37.9909
4786.300923,-37.7911
4897.788194,-37.5913
5011.872336,-37.3915
5128.61384,-37.1917
5248.074602,-36.9919
5370.317964,-36.7921
5495.408739,-36.5923
5623.413252,-36.3926
5754.399373,-36.1928
5888.436554,-35.9931
6025.595861,-35.7933
6165.950019,-35.5936
6309.573445,-35.3939
6456.54229,-35.1942
6606.93448,-34.9946
6760.829754,-34.7949
6918.309709,-34.5953
7079.457844,-34.3957
7244.359601,-34.1961
7413.102413,-33.9965
7585.77575,-33.7969
7762.471166,-33.5974
7943.282347,-33.3978
8128.305162,-33.1983
8317.637711,-32.9989
8511.380382,-32.7994
8709.6359,-32.6
8912.509381,-32.4006
9120.108394,-32.2012
9332.543008,-32.0019
9549.92586,-31.8025
9772.37221,-31.6033
10000,-31.404
10232.92992,-31.2048
10471.28548,-31.0056
10715.19305,-30.8065
10964.78196,-30.6074
11220.18454,-30.4083
11481.53621,-30.2093
11748.97555,-30.0104
12022.64435,-29.8115
12302.68771,-29.6126
12589.25412,-29.4138
12882.49552,-29.215
13182.56739,-29.0163
13489.62883,-28.8177
13803.84265,-28.6191
14125.37545,-28.4206
14454.39771,-28.2222
14791.08388,-28.0238
15135.61248,-27.8255
15488.16619,-27.6273
15848.93192,-27.4292
16218.10097,-27.2312
16595.86907,-27.0333
16982.43652,-26.8354
17378.00829,-26.6377
17782.7941,-26.44
18197.00859,-26.2425
18620.87137,-26.0451
19054.60718,-25.8478
19498.446,-25.6506
19952.62315,-25.4536
20417.37945,-25.2567
20892.96131,-25.0599
21379.6209,-24.8633
21877.61624,-24.6669
22387.21139,-24.4706
22908.67653,-24.2745
23442.28815,-24.0786
23988.32919,-23.8828
24547.08916,-23.6873
25118.86432,-23.4919
25703.95783,-23.2968
26302.67992,-23.1019
26915.34804,-22.9072
27542.28703,-22.7128
28183.82931,-22.5186
28840.31503,-22.3247
29512.09227,-22.1311
30199.5172,-21.9378
30902.95433,-21.7447
31622.7766,-21.552
32359.36569,-21.3596
33113.11215,-21.1676
