time	I(R3)
Step Information: X=500m Y=500m  (Step: 1/144)
0.000000000000000e+00	-4.073006e-05
1.000000000000000e+01	-4.073006e-05
Step Information: X=250 Y=500m  (Step: 2/144)
0.000000000000000e+00	-4.073006e-05
1.000000000000000e+01	-4.073006e-05
Step Information: X=500 Y=500m  (Step: 3/144)
0.000000000000000e+00	-4.073006e-05
1.000000000000000e+01	-4.073006e-05
Step Information: X=1K Y=500m  (Step: 4/144)
0.000000000000000e+00	-4.073006e-05
1.000000000000000e+01	-4.073006e-05
Step Information: X=1.5K Y=500m  (Step: 5/144)
0.000000000000000e+00	-4.073006e-05
1.000000000000000e+01	-4.073006e-05
Step Information: X=2K Y=500m  (Step: 6/144)
0.000000000000000e+00	-4.073006e-05
1.000000000000000e+01	-4.073006e-05
Step Information: X=2.5K Y=500m  (Step: 7/144)
0.000000000000000e+00	-4.073006e-05
1.000000000000000e+01	-4.073006e-05
Step Information: X=3K Y=500m  (Step: 8/144)
0.000000000000000e+00	-4.073006e-05
1.000000000000000e+01	-4.073006e-05
Step Information: X=3.5K Y=500m  (Step: 9/144)
0.000000000000000e+00	-4.073006e-05
1.000000000000000e+01	-4.073006e-05
Step Information: X=4K Y=500m  (Step: 10/144)
0.000000000000000e+00	-4.073006e-05
1.000000000000000e+01	-4.073006e-05
Step Information: X=4.5K Y=500m  (Step: 11/144)
0.000000000000000e+00	-4.073006e-05
1.000000000000000e+01	-4.073006e-05
Step Information: X=5K Y=500m  (Step: 12/144)
0.000000000000000e+00	-4.073006e-05
1.000000000000000e+01	-4.073006e-05
Step Information: X=500m Y=250  (Step: 13/144)
0.000000000000000e+00	-3.759127e-05
1.000000000000000e+01	-3.759127e-05
Step Information: X=250 Y=250  (Step: 14/144)
0.000000000000000e+00	-3.759127e-05
1.000000000000000e+01	-3.759127e-05
Step Information: X=500 Y=250  (Step: 15/144)
0.000000000000000e+00	-3.759127e-05
1.000000000000000e+01	-3.759127e-05
Step Information: X=1K Y=250  (Step: 16/144)
0.000000000000000e+00	-3.759127e-05
1.000000000000000e+01	-3.759127e-05
Step Information: X=1.5K Y=250  (Step: 17/144)
0.000000000000000e+00	-3.759127e-05
1.000000000000000e+01	-3.759127e-05
Step Information: X=2K Y=250  (Step: 18/144)
0.000000000000000e+00	-3.759127e-05
1.000000000000000e+01	-3.759127e-05
Step Information: X=2.5K Y=250  (Step: 19/144)
0.000000000000000e+00	-3.759127e-05
1.000000000000000e+01	-3.759127e-05
Step Information: X=3K Y=250  (Step: 20/144)
0.000000000000000e+00	-3.759127e-05
1.000000000000000e+01	-3.759127e-05
Step Information: X=3.5K Y=250  (Step: 21/144)
0.000000000000000e+00	-3.759127e-05
1.000000000000000e+01	-3.759127e-05
Step Information: X=4K Y=250  (Step: 22/144)
0.000000000000000e+00	-3.759127e-05
