time	I(R3)
1.000000000000000e+01	-3.438239e-04
Step Information: X=500 Y=20K  (Step: 50/64)
0.000000000000000e+00	-3.438239e-04
1.000000000000000e+01	-3.438239e-04
Step Information: X=2.5K Y=20K  (Step: 51/64)
0.000000000000000e+00	-3.438239e-04
1.000000000000000e+01	-3.438239e-04
Step Information: X=5K Y=20K  (Step: 52/64)
0.000000000000000e+00	-3.438239e-04
1.000000000000000e+01	-3.438239e-04
Step Information: X=10K Y=20K  (Step: 53/64)
0.000000000000000e+00	-3.438239e-04
1.000000000000000e+01	-3.438239e-04
Step Information: X=15K Y=20K  (Step: 54/64)
0.000000000000000e+00	-3.438239e-04
1.000000000000000e+01	-3.438239e-04
Step Information: X=20K Y=20K  (Step: 55/64)
0.000000000000000e+00	-3.438239e-04
1.000000000000000e+01	-3.438239e-04
Step Information: X=25K Y=20K  (Step: 56/64)
0.000000000000000e+00	-3.438239e-04
1.000000000000000e+01	-3.438239e-04
Step Information: X=500m Y=25K  (Step: 57/64)
0.000000000000000e+00	-2.787960e-04
1.000000000000000e+01	-2.787960e-04
Step Information: X=500 Y=25K  (Step: 58/64)
0.000000000000000e+00	-2.787960e-04
1.000000000000000e+01	-2.787960e-04
Step Information: X=2.5K Y=25K  (Step: 59/64)
0.000000000000000e+00	-2.787960e-04
1.000000000000000e+01	-2.787960e-04
Step Information: X=5K Y=25K  (Step: 60/64)
0.000000000000000e+00	-2.787960e-04
1.000000000000000e+01	-2.787960e-04
Step Information: X=10K Y=25K  (Step: 61/64)
0.000000000000000e+00	-2.787960e-04
1.000000000000000e+01	-2.787960e-04
Step Information: X=15K Y=25K  (Step: 62/64)
0.000000000000000e+00	-2.787960e-04
1.000000000000000e+01	-2.787960e-04
Step Information: X=20K Y=25K  (Step: 63/64)
0.000000000000000e+00	-2.787960e-04
1.000000000000000e+01	-2.787960e-04
Step Information: X=25K Y=25K  (Step: 64/64)
0.000000000000000e+00	-2.787960e-04
1.000000000000000e+01	-2.787960e-04
